time	V(n002)
0.000000000000000e+00	1.094593e+01
1.497965671920351e-04	1.094808e+01
2.995931343840702e-04	1.094529e+01
4.493897015761054e-04	1.093756e+01
5.991862687681405e-04	1.092490e+01
7.489828359601756e-04	1.090731e+01
8.987794031522108e-04	1.088477e+01
1.048575970344245e-03	1.085730e+01
2.097151940688491e-03	1.017732e+01
2.585895450341255e-03	9.048263e+00
3.027603439144602e-03	6.784215e+00
3.559043932184337e-03	2.891795e+00
3.579136218688099e-03	2.713954e+00
3.619320791695624e-03	2.318859e+00
3.699689937710672e-03	1.502939e+00
3.792709855550329e-03	5.282773e-01
3.827093739971762e-03	1.506688e-01
3.860152934433435e-03	-2.162722e-01
3.870998014459420e-03	-3.328674e-01
3.877017645447836e-03	-3.867610e-01
3.881155325201829e-03	-4.113493e-01
3.882498841748697e-03	-4.154475e-01
3.883569692554569e-03	-4.169993e-01
3.885270516502099e-03	-4.182926e-01
3.887779193788425e-03	-4.190423e-01
3.893212837298643e-03	-4.194445e-01
4.561606072354004e-03	-4.265480e-01
5.229999307409365e-03	-4.327728e-01
5.898392542464726e-03	-4.381188e-01
6.566785777520088e-03	-4.425860e-01
7.235179012575449e-03	-4.461744e-01
7.903572247630809e-03	-4.488841e-01
8.571965482686170e-03	-4.507150e-01
1.253535573536221e-02	-4.630608e-01
1.750993553054819e-02	-4.731594e-01
2.662900618559672e-02	-4.852799e-01
4.616025618559672e-02	-5.011628e-01
7.545713118559672e-02	-5.145246e-01
1.075441847570253e-01	-5.227281e-01
1.396312383284539e-01	-5.299320e-01
1.717182918998825e-01	-5.361363e-01
2.038053454713110e-01	-5.413408e-01
2.358923990427396e-01	-5.455456e-01
2.679794526141682e-01	-5.487508e-01
3.000665061855967e-01	-5.509563e-01
4.395754347570253e-01	-5.595440e-01
5.790843633284539e-01	-5.670665e-01
7.185932918998826e-01	-5.735237e-01
8.581022204713112e-01	-5.789158e-01
9.976111490427398e-01	-5.832426e-01
1.137120077614169e+00	-5.865042e-01
1.276629006185597e+00	-5.887007e-01
1.904419184757026e+00	-5.976306e-01
2.532209363328454e+00	-6.054402e-01
3.159999541899883e+00	-6.121297e-01
3.787789720471312e+00	-6.176989e-01
4.415579899042741e+00	-6.221478e-01
5.043370077614170e+00	-6.254766e-01
5.671160256185597e+00	-6.276851e-01
9.401629006185598e+00	-6.410429e-01
9.994664262371195e+00	-6.426687e-01
1.000000000000000e+01	-6.426829e-01
