time	V(n002)
0.000000000000000e+00	1.094132e+01
2.809353700385521e-04	1.094897e+01
5.618707400771041e-04	1.094108e+01
8.428061101156562e-04	1.091766e+01
1.123741480154208e-03	1.087871e+01
1.404676850192760e-03	1.082423e+01
1.685612220231312e-03	1.075421e+01
1.966547590269864e-03	1.066865e+01
2.421158400081979e-03	1.005862e+01
2.994881975185668e-03	8.202259e+00
3.570024336747434e-03	5.444244e+00
3.605424111408692e-03	5.235270e+00
3.676223660731206e-03	4.771363e+00
3.817822759376235e-03	3.800979e+00
4.101020956666293e-03	1.782361e+00
4.320060059755702e-03	1.996950e-01
4.330194733937459e-03	1.293425e-01
4.337540480523928e-03	7.927669e-02
4.346732922845373e-03	1.798324e-02
4.358815375300645e-03	-5.888434e-02
4.366761828688858e-03	-1.035311e-01
4.376259334891696e-03	-1.465026e-01
4.382310050836301e-03	-1.669125e-01
4.386901634407956e-03	-1.777067e-01
4.392175694655467e-03	-1.864854e-01
4.396903742335849e-03	-1.921847e-01
4.403903173795964e-03	-1.975532e-01
4.414105883189734e-03	-2.016442e-01
4.430709645219725e-03	-2.042254e-01
4.470597508428817e-03	-2.054416e-01
4.510485371637909e-03	-2.065308e-01
4.550373234847000e-03	-2.074931e-01
4.590261098056092e-03	-2.083284e-01
4.630148961265184e-03	-2.090368e-01
4.670036824474275e-03	-2.096183e-01
4.709924687683367e-03	-2.100729e-01
5.252446942965965e-03	-2.178598e-01
5.794969198248564e-03	-2.249162e-01
6.337491453531162e-03	-2.312419e-01
6.880013708813760e-03	-2.368371e-01
7.422535964096358e-03	-2.417017e-01
7.965058219378957e-03	-2.458357e-01
8.507580474661554e-03	-2.492391e-01
1.040023702654757e-02	-2.606057e-01
1.313105892976924e-02	-2.731668e-01
1.716184326909054e-02	-2.870109e-01
2.296245445387672e-02	-3.015576e-01
3.152060913224229e-02	-3.169484e-01
4.396484828401714e-02	-3.330259e-01
5.861328578401714e-02	-3.470120e-01
7.326172328401714e-02	-3.577622e-01
1.025585982840171e-01	-3.735552e-01
1.465039107840171e-01	-3.900713e-01
1.862639554268743e-01	-4.001554e-01
2.260240000697314e-01	-4.091970e-01
2.657840447125887e-01	-4.171963e-01
3.055440893554457e-01	-4.241531e-01
3.453041339983030e-01	-4.300675e-01
3.850641786411601e-01	-4.349395e-01
4.248242232840171e-01	-4.387691e-01
5.503822589983030e-01	-4.494478e-01
6.759402947125887e-01	-4.589913e-01
8.014983304268744e-01	-4.673999e-01
9.270563661411602e-01	-4.746733e-01
1.052614401855446e+00	-4.808117e-01
1.178172437569732e+00	-4.858151e-01
1.303730473284017e+00	-4.896834e-01
1.715979357212589e+00	-5.009062e-01
2.128228241141160e+00	-5.109072e-01
2.540477125069732e+00	-5.196861e-01
2.952726008998304e+00	-5.272432e-01
3.364974892926875e+00	-5.335783e-01
3.777223776855446e+00	-5.386914e-01
4.189472660784017e+00	-5.425826e-01
5.022469199534005e+00	-5.503134e-01
5.855465738283994e+00	-5.573443e-01
6.688462277033981e+00	-5.636752e-01
7.521458815783969e+00	-5.693061e-01
8.354455354533957e+00	-5.742371e-01
9.187451893283946e+00	-5.784682e-01
1.002044843203393e+01	-5.819992e-01
1.397552655703393e+01	-5.819992e-01
1.498626874453393e+01	-5.819992e-01
1.500000000000000e+01	-5.819992e-01
