time	V(n002)
0.000000000000000e+00	2.018615e-03
4.228149299576348e-02	2.022204e-03
8.456298599152695e-02	2.023377e-03
1.268444789872904e-01	2.022132e-03
1.691259719830539e-01	2.018470e-03
2.114074649788174e-01	2.012392e-03
2.536889579745809e-01	2.003896e-03
2.959704509703442e-01	1.992983e-03
3.046200045417728e-01	1.990071e-03
3.132695581132014e-01	1.976730e-03
3.219191116846299e-01	1.952960e-03
3.305686652560585e-01	1.918762e-03
3.392182188274871e-01	1.874134e-03
3.478677723989157e-01	1.819077e-03
3.565173259703442e-01	1.753591e-03
3.614001384703442e-01	1.706759e-03
3.662829509703442e-01	1.640976e-03
3.711657634703442e-01	1.556244e-03
3.760485759703442e-01	1.452562e-03
3.809313884703442e-01	1.329930e-03
3.858142009703442e-01	1.188348e-03
3.906970134703442e-01	1.027816e-03
3.940452277560585e-01	8.992212e-04
3.973934420417728e-01	7.441326e-04
4.007416563274871e-01	5.625505e-04
4.040898706132014e-01	3.544747e-04
4.074380848989157e-01	1.199053e-04
4.107862991846299e-01	-1.411576e-04
4.141345134703442e-01	-4.287142e-04
4.169246920417728e-01	-6.961648e-04
4.197148706132014e-01	-1.005512e-03
4.225050491846299e-01	-1.356755e-03
4.252952277560585e-01	-1.749895e-03
4.280854063274871e-01	-2.184931e-03
4.308755848989157e-01	-2.661863e-03
4.336657634703442e-01	-3.180692e-03
4.361769241846299e-01	-3.693611e-03
4.386880848989157e-01	-4.275779e-03
4.411992456132014e-01	-4.927198e-03
4.437104063274871e-01	-5.647866e-03
4.462215670417728e-01	-6.437784e-03
4.487327277560585e-01	-7.296952e-03
4.512438884703442e-01	-8.225370e-03
4.536155402560585e-01	-9.180780e-03
4.559871920417728e-01	-1.025547e-02
4.583588438274871e-01	-1.144944e-02
4.607304956132014e-01	-1.276268e-02
4.631021473989157e-01	-1.419521e-02
4.654737991846299e-01	-1.574701e-02
4.678454509703442e-01	-1.741810e-02
4.707751384703442e-01	-1.974383e-02
4.737048259703442e-01	-2.234782e-02
4.766345134703442e-01	-2.526337e-02
4.795642009703442e-01	-2.852773e-02
4.824938884703442e-01	-3.218263e-02
4.854235759703442e-01	-3.627478e-02
4.883532634703442e-01	-4.085648e-02
4.912829509703442e-01	-4.598627e-02
4.942126384703442e-01	-5.172969e-02
4.971423259703442e-01	-5.816012e-02
5.000720134703442e-01	-6.535968e-02
5.030017009703442e-01	-7.342033e-02
5.059313884703442e-01	-8.244501e-02
5.088610759703442e-01	-9.254892e-02
5.117907634703442e-01	-1.038610e-01
5.147204509703442e-01	-1.165257e-01
5.176501384703442e-01	-1.307045e-01
5.205798259703442e-01	-1.465782e-01
5.235095134703442e-01	-1.643493e-01
5.264392009703442e-01	-1.842443e-01
5.293688884703442e-01	-2.065165e-01
5.322985759703442e-01	-2.314496e-01
5.352282634703442e-01	-2.593609e-01
5.381579509703442e-01	-2.906055e-01
5.410876384703442e-01	-3.255804e-01
5.440173259703442e-01	-3.647299e-01
5.469470134703442e-01	-4.085509e-01
5.498767009703442e-01	-4.575990e-01
5.528063884703442e-01	-5.124955e-01
5.557360759703442e-01	-5.739349e-01
5.586657634703442e-01	-6.426935e-01
5.615954509703442e-01	-7.196390e-01
5.645251384703442e-01	-8.057405e-01
5.674548259703442e-01	-9.020808e-01
5.703845134703442e-01	-1.009869e+00
5.733142009703442e-01	-1.130454e+00
5.762438884703442e-01	-1.265342e+00
5.791735759703442e-01	-1.416214e+00
5.821032634703442e-01	-1.584941e+00
5.850329509703442e-01	-1.773611e+00
5.879626384703442e-01	-1.984549e+00
5.908923259703442e-01	-2.220343e+00
5.938220134703442e-01	-2.483870e+00
5.967517009703442e-01	-2.778329e+00
5.996813884703442e-01	-3.107273e+00
6.026110759703442e-01	-3.474644e+00
6.055407634703442e-01	-3.884809e+00
6.084704509703442e-01	-4.342603e+00
6.114001384703442e-01	-4.853371e+00
6.143298259703442e-01	-5.423013e+00
6.172595134703442e-01	-6.058033e+00
6.201892009703442e-01	-6.765582e+00
6.231188884703442e-01	-7.553515e+00
6.260485759703442e-01	-8.430435e+00
6.289782634703442e-01	-9.405745e+00
6.324012351918723e-01	-1.068035e+01
6.325137507037920e-01	-1.072499e+01
6.326041345953024e-01	-1.076094e+01
6.326640332678456e-01	-1.078472e+01
6.327168622795459e-01	-1.080555e+01
6.327657186388673e-01	-1.082452e+01
6.328065775838887e-01	-1.083996e+01
6.328469871133554e-01	-1.085452e+01
6.328892113809530e-01	-1.086861e+01
6.329371228368684e-01	-1.088271e+01
6.329982447919624e-01	-1.089718e+01
6.330922287346014e-01	-1.091349e+01
6.331681806982610e-01	-1.092215e+01
6.332472927025070e-01	-1.092725e+01
6.333394950804295e-01	-1.093025e+01
6.334468555948982e-01	-1.093172e+01
6.338860331518809e-01	-1.093207e+01
6.341746744836328e-01	-1.093172e+01
6.346927581411153e-01	-1.093112e+01
6.349257741885125e-01	-1.093092e+01
6.352762294241248e-01	-1.093075e+01
6.355932757164378e-01	-1.093067e+01
6.359657549964478e-01	-1.093061e+01
6.364887522959242e-01	-1.093056e+01
6.372517515275423e-01	-1.093051e+01
6.392048765275423e-01	-1.093042e+01
6.411580015275423e-01	-1.093037e+01
6.431111265275423e-01	-1.093033e+01
6.450642515275423e-01	-1.093030e+01
6.470173765275423e-01	-1.093027e+01
6.489705015275423e-01	-1.093025e+01
6.519001890275423e-01	-1.093021e+01
6.548298765275423e-01	-1.093019e+01
6.577595640275423e-01	-1.093016e+01
6.606892515275423e-01	-1.093014e+01
6.636189390275423e-01	-1.093012e+01
6.665486265275423e-01	-1.093010e+01
6.694783140275423e-01	-1.093008e+01
