time	V(n002)
0.000000000000000e+00	2.019086e-03
1.561827869248616e-02	2.017315e-03
3.123655738497233e-02	2.005788e-03
4.685483607745849e-02	1.984505e-03
6.247311476994466e-02	1.953465e-03
7.809139346243082e-02	1.912668e-03
9.370967215491699e-02	1.862114e-03
1.093279508474031e-01	1.801804e-03
1.181170133474031e-01	1.758752e-03
1.269060758474031e-01	1.696856e-03
1.356951383474031e-01	1.616118e-03
1.444842008474031e-01	1.516536e-03
1.532732633474031e-01	1.398112e-03
1.620623258474031e-01	1.260845e-03
1.708513883474031e-01	1.104735e-03
1.767107633474031e-01	9.823910e-04
1.825701383474031e-01	8.344892e-04
1.884295133474031e-01	6.610298e-04
1.942888883474031e-01	4.620128e-04
2.001482633474031e-01	2.374383e-04
2.060076383474031e-01	-1.269386e-05
2.118670133474031e-01	-2.883836e-04
2.167498258474031e-01	-5.449757e-04
2.216326383474031e-01	-8.422777e-04
2.265154508474031e-01	-1.180289e-03
2.313982633474031e-01	-1.559011e-03
2.362810758474031e-01	-1.978443e-03
2.411638883474031e-01	-2.438584e-03
2.460467008474031e-01	-2.939435e-03
2.505109865616888e-01	-3.442569e-03
2.549752722759746e-01	-4.015991e-03
2.594395579902602e-01	-4.659701e-03
2.639038437045459e-01	-5.373699e-03
2.683681294188317e-01	-6.157985e-03
2.728324151331174e-01	-7.012558e-03
2.772967008474031e-01	-7.937420e-03
2.816214776331174e-01	-8.914774e-03
2.859462544188316e-01	-1.002278e-02
2.902710312045459e-01	-1.126145e-02
2.945958079902602e-01	-1.263077e-02
2.989205847759746e-01	-1.413074e-02
3.032453615616888e-01	-1.576137e-02
3.075701383474031e-01	-1.752265e-02
3.117554062045459e-01	-1.937827e-02
3.159406740616888e-01	-2.147105e-02
3.201259419188317e-01	-2.380099e-02
3.243112097759746e-01	-2.636808e-02
3.284964776331174e-01	-2.917234e-02
3.326817454902602e-01	-3.221376e-02
3.368670133474031e-01	-3.549233e-02
3.409127722759746e-01	-3.893555e-02
3.449585312045459e-01	-4.279907e-02
3.490042901331174e-01	-4.708289e-02
3.530500490616888e-01	-5.178701e-02
3.570958079902602e-01	-5.691143e-02
3.611415669188317e-01	-6.245615e-02
3.651873258474031e-01	-6.842118e-02
3.692330847759746e-01	-7.488525e-02
3.732788437045459e-01	-8.213835e-02
3.773246026331174e-01	-9.018046e-02
3.813703615616888e-01	-9.901159e-02
3.854161204902602e-01	-1.086317e-01
3.894618794188317e-01	-1.190409e-01
3.935076383474031e-01	-1.302391e-01
3.975533972759746e-01	-1.423741e-01
4.015991562045459e-01	-1.559903e-01
4.056449151331174e-01	-1.710876e-01
4.096906740616888e-01	-1.876661e-01
4.137364329902602e-01	-2.057257e-01
4.177821919188317e-01	-2.252664e-01
4.218279508474031e-01	-2.462882e-01
4.258737097759746e-01	-2.690688e-01
4.299194687045459e-01	-2.946295e-01
4.339652276331174e-01	-3.229702e-01
4.380109865616888e-01	-3.540911e-01
4.420567454902602e-01	-3.879921e-01
4.461025044188317e-01	-4.246733e-01
4.501482633474031e-01	-4.641345e-01
4.541940222759746e-01	-5.068970e-01
4.582397812045459e-01	-5.548770e-01
4.622855401331174e-01	-6.080745e-01
4.663312990616888e-01	-6.664895e-01
4.703770579902602e-01	-7.301219e-01
4.744228169188317e-01	-7.989718e-01
4.784685758474031e-01	-8.730392e-01
4.825143347759746e-01	-9.533027e-01
4.865600937045459e-01	-1.043355e+00
4.906058526331174e-01	-1.143196e+00
4.946516115616888e-01	-1.252826e+00
4.986973704902602e-01	-1.372244e+00
5.027431294188317e-01	-1.501452e+00
5.067888883474031e-01	-1.640448e+00
5.108346472759745e-01	-1.791071e+00
5.148804062045460e-01	-1.960048e+00
5.189261651331174e-01	-2.147380e+00
5.229719240616888e-01	-2.353067e+00
5.270176829902602e-01	-2.577109e+00
5.310634419188317e-01	-2.819505e+00
5.351092008474031e-01	-3.080256e+00
5.391549597759745e-01	-3.362816e+00
5.432007187045460e-01	-3.679755e+00
5.472464776331174e-01	-4.031074e+00
5.512922365616888e-01	-4.416773e+00
5.553379954902602e-01	-4.836851e+00
5.593837544188317e-01	-5.291308e+00
5.634295133474031e-01	-5.780146e+00
5.673357633474031e-01	-6.292386e+00
5.712420133474031e-01	-6.863486e+00
5.751482633474031e-01	-7.493446e+00
5.790545133474031e-01	-8.182266e+00
5.829607633474031e-01	-8.929945e+00
5.868670133474031e-01	-9.736484e+00
5.907732633474031e-01	-1.060188e+01
5.914624922533311e-01	-1.074187e+01
5.918815394374549e-01	-1.079494e+01
5.923448853479856e-01	-1.082038e+01
5.933658511291554e-01	-1.084360e+01
5.953189761291554e-01	-1.085898e+01
5.972721011291554e-01	-1.087196e+01
5.992252261291554e-01	-1.088254e+01
6.011783511291554e-01	-1.089072e+01
6.031314761291554e-01	-1.089651e+01
6.050846011291554e-01	-1.089989e+01
6.070377261291554e-01	-1.090088e+01
6.187564761291554e-01	-1.091082e+01
6.304752261291554e-01	-1.091891e+01
6.421939761291554e-01	-1.092514e+01
6.539127261291554e-01	-1.092952e+01
6.656314761291554e-01	-1.093204e+01
6.773502261291554e-01	-1.093271e+01
6.890689761291554e-01	-1.093152e+01
7.300846011291554e-01	-1.093183e+01
7.711002261291554e-01	-1.093203e+01
8.121158511291554e-01	-1.093212e+01
8.531314761291555e-01	-1.093209e+01
8.941471011291555e-01	-1.093196e+01
9.351627261291555e-01	-1.093171e+01
9.761783511291554e-01	-1.093135e+01
9.771549136291554e-01	-1.093135e+01
9.995834704833784e-01	-1.093124e+01
1.000000000000000e+00	-1.093124e+01
